"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Ireland","4/3/2020","IE","EURO",402,3849,13,98,4.857015,8.27669e-05,0.000792462,2.67654e-06,2.0177e-05
"Ireland","7/3/2020","IE","EURO",12,25489,0,1738,4.857015,2.47065e-06,0.005247873,0,0.000357833
"Israel","1/3/2020","IL","EURO",0,0,0,0,8.872943,0,0,0,0
"Israel","10/3/2020","IL","EURO",7730,255149,46,1651,8.872943,0.000871188,0.028755848,5.1843e-06,0.000186071
"Israel","7/3/2020","IL","EURO",972,26421,3,330,8.872943,0.000109547,0.002977704,3.38107e-07,3.71917e-05
"Israel","4/3/2020","IL","EURO",696,6421,8,29,8.872943,7.84407e-05,0.000723661,9.01617e-07,3.26836e-06
"Italy","10/3/2020","IT","EURO",2499,319908,23,35941,60.421797,4.13592e-05,0.005294579,3.80657e-07,0.000594835
"Italy","7/3/2020","IT","EURO",201,240961,30,34818,60.421797,3.32661e-06,0.003987981,4.9651e-07,0.000576249
"Italy","4/3/2020","IT","EURO",4668,115242,760,13917,60.421797,7.72569e-05,0.001907292,1.25782e-05,0.000230331
"Italy","1/3/2020","IT","EURO",0,0,0,0,60.421797,0,0,0,0
"Japan","1/3/2020","JP","WPRO",0,0,0,0,126.44318,0,0,0,0
"Japan","4/3/2020","JP","WPRO",233,2617,8,65,126.44318,1.84272e-06,2.0697e-05,6.32695e-08,5.14065e-07
"Japan","7/3/2020","JP","WPRO",194,19068,1,976,126.44318,1.53429e-06,0.000150803,7.90869e-09,7.71888e-06
"Japan","10/3/2020","JP","WPRO",553,84768,12,1590,126.44318,4.37351e-06,0.000670404,9.49043e-08,1.25748e-05
"Latvia","10/3/2020","LV","EURO",77,1945,1,38,1.92717,3.9955e-05,0.001009252,5.18896e-07,1.9718e-05
"Latvia","1/3/2020","LV","EURO",0,0,0,0,1.92717,0,0,0,0
"Latvia","7/3/2020","LV","EURO",1,1122,0,30,1.92717,5.18896e-07,0.000582201,0,1.55669e-05
