"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Chile","11/28/2020","CL","AMRO",1561,547223,43,15278,18.751405,8.32471e-05,0.02918304,2.29316e-06,0.000814766
"Chile","3/28/2020","CL","AMRO",304,1610,1,5,18.751405,1.62121e-05,8.58602e-05,5.33293e-08,2.66647e-07
"Chile","6/28/2020","CL","AMRO",4406,267766,279,5347,18.751405,0.000234969,0.014279783,1.48789e-05,0.000285152
"Chile","7/28/2020","CL","AMRO",2133,347923,75,9187,18.751405,0.000113751,0.018554503,3.9997e-06,0.000489937
"Chile","1/28/2020","CL","AMRO",0,0,0,0,18.751405,0,0,0,0
"Chile","1/28/2021","CL","AMRO",3388,709888,17,18040,18.751405,0.00018068,0.037857857,9.06599e-07,0.000962061
"Chile","9/28/2020","CL","AMRO",1922,457901,50,12641,18.751405,0.000102499,0.024419557,2.66647e-06,0.000674136
"Chile","5/28/2020","CL","AMRO",4328,82289,35,841,18.751405,0.000230809,0.004388418,1.86653e-06,4.485e-05
"Chile","12/28/2020","CL","AMRO",1711,600105,39,16443,18.751405,9.12465e-05,0.032003202,2.07984e-06,0.000876894
"Chile","4/28/2020","CL","AMRO",482,13813,9,198,18.751405,2.57047e-05,0.000736638,4.79964e-07,1.05592e-05
"China","12/28/2020","CN","WPRO",93,96417,1,4778,1415.045928,6.57222e-08,6.8137e-05,7.06691e-10,3.37657e-06
"China","8/28/2020","CN","WPRO",30,90301,2,4722,1415.045928,2.12007e-08,6.38149e-05,1.41338e-09,3.33699e-06
"China","4/28/2020","CN","WPRO",6,84347,0,4643,1415.045928,4.24015e-09,5.96073e-05,0,3.28117e-06
"China","9/28/2020","CN","WPRO",27,90993,0,4746,1415.045928,1.90807e-08,6.43039e-05,0,3.35395e-06
"China","7/28/2020","CN","WPRO",217,87245,4,4663,1415.045928,1.53352e-07,6.16552e-05,2.82676e-09,3.2953e-06
"China","11/28/2020","CN","WPRO",112,93225,0,4749,1415.045928,7.91494e-08,6.58813e-05,0,3.35607e-06
