,Quarter,Country,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag.Codes,Date_reported,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,New_cases_pc,Cumulative_cases_pc,New_deaths_pc,Cumulative_deaths_pc,GDP,%GDP (QTR),%GDP (TOTAL),Unemployment,%unem (QTR),%unem (TOTAL)
29,Q1.2020,Slovakia,SVK,HUR,TOT,PC_LF,M,2020-04,6.6,,4/3/2020,SK,EURO,37,400,0,0,5.446771,6.79E-06,7.34E-05,0,0,"173,352",-5.077927914,,6.6,0.1,
64,Q2.2020,Slovakia,SVK,HUR,TOT,PC_LF,M,2020-07,7.1,,7/3/2020,SK,EURO,20,1687,0,28,5.446771,3.67E-06,0.000309725,0,5.14E-06,"158,962",-8.300909507,,7.1,0.075757576,
99,Q3.2020,Slovakia,SVK,HUR,TOT,PC_LF,M,2020-10,7.1,,10/3/2020,SK,EURO,797,10938,0,48,5.446771,0.000146325,0.002008162,0,8.81E-06,"177,468",11.64168035,-0.028243514,7.1,0,0.154929577
135,Q4.2019,Slovenia,SVN,HUR,TOT,PC_LF,M,2020-01,4.1,,1/3/2020,SI,EURO,0,0,0,0,2.07005,0,0,0,0,"76,730",0.389073528,,4.1,0.170731707,
30,Q1.2020,Slovenia,SVN,HUR,TOT,PC_LF,M,2020-04,5.3,,4/3/2020,SI,EURO,55,897,1,20,2.07005,2.66E-05,0.000433323,4.83E-07,9.66E-06,"73,154",-4.660072286,,5.3,0.292682927,
65,Q2.2020,Slovenia,SVN,HUR,TOT,PC_LF,M,2020-07,5.2,,7/3/2020,SI,EURO,21,1633,0,114,2.07005,1.01E-05,0.00078887,0,5.51E-05,"65,994",-9.788389611,,5.2,-0.018867925,
100,Q3.2020,Slovenia,SVN,HUR,TOT,PC_LF,M,2020-10,4.9,,10/3/2020,SI,EURO,239,6105,2,159,2.07005,0.000115456,0.002949204,9.66E-07,7.68E-05,"74,181",12.40555655,-0.033220383,4.9,-0.057692308,0.163265306
136,Q4.2019,Spain,ESP,HUR,TOT,PC_LF,M,2020-01,13.8,,1/3/2020,ES,EURO,0,0,0,0,46.733038,0,0,0,0,"1,806,481",0.414757334,,13.8,-0.014492754,
31,Q1.2020,Spain,ESP,HUR,TOT,PC_LF,M,2020-04,15.2,,4/3/2020,ES,EURO,7058,131421,895,11285,46.733038,0.000151028,0.002812165,1.92E-05,0.000241478,"1,711,635",-5.250324773,,15.2,0.101449275,
66,Q2.2020,Spain,ESP,HUR,TOT,PC_LF,M,2020-07,16.4,,7/3/2020,ES,EURO,521,260017,10,29765,46.733038,1.11E-05,0.00556388,2.14E-07,0.000636916,"1,405,614",-17.87883902,,16.4,0.078947368,
101,Q3.2020,Spain,ESP,HUR,TOT,PC_LF,M,2020-10,16.3,,10/3/2020,ES,EURO,11354,842863,131,34269,46.733038,0.000242954,0.018035699,2.80E-06,0.000733293,"1,636,309",16.41237714,-0.094200825,16.3,-0.006097561,0.153374233
137,Q4.2019,Sweden,SWE,HUR,TOT,PC_LF,M,2020-01,7.2,,1/3/2020,SE,EURO,0,0,0,0,10.175214,0,0,0,0,"522,411",-0.302780464,,7.2,0.069444444,
32,Q1.2020,Sweden,SWE,HUR,TOT,PC_LF,M,2020-04,7.9,,4/3/2020,SE,EURO,486,5320,53,385,10.175214,4.78E-05,0.000522839,5.21E-06,3.78E-05,"524,146",-0.301872883,,7.9,0.097222222,
67,Q2.2020,Sweden,SWE,HUR,TOT,PC_LF,M,2020-07,9.1,,7/3/2020,SE,EURO,685,68551,15,5529,10.175214,6.73E-05,0.006737057,1.47E-06,0.000543379,"482,477",-7.552063413,,9.1,0.151898734,
102,Q3.2020,Sweden,SWE,HUR,TOT,PC_LF,M,2020-10,8.6,,10/3/2020,SE,EURO,633,94473,1,5884,10.175214,6.22E-05,0.00928462,9.83E-08,0.000578268,"506,264",6.427868981,-0.030908614,8.6,-0.054945055,0.162790698
138,Q4.2019,The United Kingdom,GBR,HUR,TOT,PC_LF,M,2020-01,3.961213,,1/3/2020,GB,EURO,0,0,0,0,66.43555,0,0,0,0,"2,954,951",0.017259139,,3.961213,0.036011696,
33,Q1.2020,The United Kingdom,GBR,HUR,TOT,PC_LF,M,2020-04,4.054801,,4/3/2020,GB,EURO,4913,43385,657,3782,66.43555,7.40E-05,0.000653039,9.89E-06,5.69E-05,"2,869,775",-2.882513084,,4.054801,0.023626096,
68,Q2.2020,The United Kingdom,GBR,HUR,TOT,PC_LF,M,2020-07,4.462407,,7/3/2020,GB,EURO,651,285543,41,40532,66.43555,9.80E-06,0.004298045,6.17E-07,0.000610095,"2,323,388",-19.03933796,,4.462407,0.100524292,
103,Q3.2020,The United Kingdom,GBR,HUR,TOT,PC_LF,M,2020-10,5.038247,,10/3/2020,GB,EURO,6968,467150,66,42268,66.43555,0.000104884,0.007031627,9.93E-07,0.000636226,"2,698,195",16.13188671,-0.086890104,5.038247,0.129042465,0.213771576
139,Q4.2019,Turkey,TUR,HUR,TOT,PC_LF,M,2020-01,12.6,,1/3/2020,TR,EURO,0,0,0,0,81.407211,0,0,0,0,"2,386,692",2.007254486,,12.6,-0.079365079,
34,Q1.2020,Turkey,TUR,HUR,TOT,PC_LF,M,2020-04,13.6,,4/3/2020,TR,EURO,2456,18135,79,356,81.407211,3.02E-05,0.000222769,9.70E-07,4.37E-06,"2,390,954",0.17856591,,13.6,0.079365079,
69,Q2.2020,Turkey,TUR,HUR,TOT,PC_LF,M,2020-07,13.8,,7/3/2020,TR,EURO,1186,202284,17,5167,81.407211,1.46E-05,0.002484841,2.09E-07,6.35E-05,"2,133,117",-10.7838709,,13.8,0.014705882,
104,Q3.2020,Turkey,TUR,HUR,TOT,PC_LF,M,2020-10,12.9,,10/3/2020,TR,EURO,8172,772422,63,8325,81.407211,0.000100384,0.009488373,7.74E-07,0.000102264,"2,465,122",15.56434744,0.032861383,12.9,-0.065217391,0.023255814
140,Q4.2019,United States of America,USA,HUR,TOT,PC_LF,M,2020-01,3.5,,1/3/2020,US,AMRO,0,0,0,0,327.167434,0,0,0,0,"20,144,337",0.58623185,,3.5,-0.028571429,
35,Q1.2020,United States of America,USA,HUR,TOT,PC_LF,M,2020-04,14.8,,4/3/2020,US,AMRO,26298,213600,947,4793,327.167434,8.04E-05,0.000652877,2.89E-06,1.47E-05,"19,889,983",-1.262654605,,14.8,3.228571429,
70,Q2.2020,United States of America,USA,HUR,TOT,PC_LF,M,2020-07,10.2,,7/3/2020,US,AMRO,54271,2671220,725,127858,327.167434,0.000165881,0.008164688,2.22E-06,0.000390803,"18,102,646",-8.986116769,,10.2,-0.310810811,
105,Q3.2020,United States of America,USA,HUR,TOT,PC_LF,M,2020-10,6.9,,10/3/2020,US,AMRO,46293,7206769,892,206558,327.167434,0.000141496,0.02202777,2.73E-06,0.000631353,"19,456,496",7.478741091,-0.034145626,6.9,-0.323529412,0.492753623
