"","Quarter","Country","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP"
"24","Q1.2020","Netherlands","NLD","HUR","TOT","PC_LF","M","2020-04",3.4,"","4/3/2020","NL","EURO",1083,14543,155,1292,17.231622,6.28496e-05,0.000843972,8.99509e-06,7.49784e-05,"923,754"
"25","Q1.2020","Norway","NOR","HUR","TOT","PC_LF","M","2020-04",4.1,"","4/3/2020","NO","EURO",270,4935,10,42,5.311916,5.08291e-05,0.000929043,1.88256e-06,7.90675e-06,"330,901"
"26","Q1.2020","Poland","POL","HUR","TOT","PC_LF","M","2020-04",3.1,"","4/3/2020","PL","EURO",392,2946,14,57,38.413139,1.02048e-05,7.66925e-05,3.64459e-07,1.48387e-06,"1,222,948"
"27","Q1.2020","Portugal","PRT","HUR","TOT","PC_LF","M","2020-04",6.3,"","4/3/2020","PT","EURO",783,9034,22,209,10.283822,7.6139e-05,0.000878467,2.13928e-06,2.03232e-05,"330,355"
"28","Q1.2020","Republic of Korea","KOR","HUR","TOT","PC_LF","M","2020-04",3.8,"","4/3/2020","KR","WPRO",86,10062,5,174,51.635256,1.66553e-06,0.000194867,9.68331e-08,3.36979e-06,"2,158,901"
"29","Q1.2020","Slovakia","SVK","HUR","TOT","PC_LF","M","2020-04",6.6,"","4/3/2020","SK","EURO",37,400,0,0,5.446771,6.79302e-06,7.3438e-05,0,0,"173,352"
"30","Q1.2020","Slovenia","SVN","HUR","TOT","PC_LF","M","2020-04",5.3,"","4/3/2020","SI","EURO",55,897,1,20,2.07005,2.65694e-05,0.000433323,4.8308e-07,9.6616e-06,"73,154"
"31","Q1.2020","Spain","ESP","HUR","TOT","PC_LF","M","2020-04",15.2,"","4/3/2020","ES","EURO",7058,131421,895,11285,46.733038,0.000151028,0.002812165,1.91513e-05,0.000241478,"1,711,635"
"32","Q1.2020","Sweden","SWE","HUR","TOT","PC_LF","M","2020-04",7.9,"","4/3/2020","SE","EURO",486,5320,53,385,10.175214,4.77631e-05,0.000522839,5.20874e-06,3.7837e-05,"524,146"
"33","Q1.2020","The United Kingdom","GBR","HUR","TOT","PC_LF","M","2020-04",4.054801,"","4/3/2020","GB","EURO",4913,43385,657,3782,66.43555,7.39514e-05,0.000653039,9.88928e-06,5.69274e-05,"2,869,775"
"34","Q1.2020","Turkey","TUR","HUR","TOT","PC_LF","M","2020-04",13.6,"","4/3/2020","TR","EURO",2456,18135,79,356,81.407211,3.01693e-05,0.000222769,9.7043e-07,4.37308e-06,"2,390,954"
"35","Q1.2020","United States of America","USA","HUR","TOT","PC_LF","M","2020-04",14.8,"","4/3/2020","US","AMRO",26298,213600,947,4793,327.167434,8.03809e-05,0.000652877,2.89454e-06,1.465e-05,"19,889,983"
"36","Q2.2020","Australia","AUS","HUR","TOT","PC_LF","M","2020-07",7.480891,"","7/3/2020","AU","WPRO",81,8001,0,104,24.99286,3.24093e-06,0.000320131,0,4.16119e-06,"1,147,260"
"37","Q2.2020","Austria","AUT","HUR","TOT","PC_LF","M","2020-07",5.8,"","7/3/2020","AT","EURO",138,17952,0,705,8.837707,1.56149e-05,0.002031296,0,7.97718e-05,"401,506"
"38","Q2.2020","Belgium","BEL","HUR","TOT","PC_LF","M","2020-07",5.9,"","7/3/2020","BE","EURO",93,62306,5,9631,11.40374,8.15522e-06,0.005463646,4.38453e-07,0.000844547,"476,577"
"39","Q2.2020","Canada","CAN","HUR","TOT","PC_LF","M","2020-07",10.9,"","7/3/2020","CA","AMRO",0,104204,0,8591,37.058856,0,0.002811852,0,0.00023182,"1,515,527"
"40","Q2.2020","Chile","CHL","HUR","TOT","PC_LF","M","2020-07",12.26392,"","7/3/2020","CL","AMRO",2498,284541,167,5920,18.751405,0.000133217,0.015174383,8.906e-06,0.00031571,"383,115"
"41","Q2.2020","Colombia","COL","HUR","TOT","PC_LF","M","2020-07",19.43816,"","7/3/2020","CO","AMRO",4163,102009,136,3470,49.83424,8.35369e-05,0.002046966,2.72905e-06,6.96308e-05,"577,711"
